"0","JohnsonJohnson"
"1","    "
"1","  Qtr1"
"1","  Qtr2"
"1","  Qtr3"
"1","  Qtr4"
"1","
1960"
"1","  0.71"
"1","  0.63"
"1","  0.85"
"1","  0.44"
"1","
1961"
"1","  0.61"
"1","  0.69"
"1","  0.92"
"1","  0.55"
"1","
1962"
"1","  0.72"
"1","  0.77"
"1","  0.92"
"1","  0.60"
"1","
1963"
"1","  0.83"
"1","  0.80"
"1","  1.00"
"1","  0.77"
"1","
1964"
"1","  0.92"
"1","  1.00"
"1","  1.24"
"1","  1.00"
"1","
1965"
"1","  1.16"
"1","  1.30"
"1","  1.45"
"1","  1.25"
"1","
1966"
"1","  1.26"
"1","  1.38"
"1","  1.86"
"1","  1.56"
"1","
1967"
"1","  1.53"
"1","  1.59"
"1","  1.83"
"1","  1.86"
"1","
1968"
"1","  1.53"
"1","  2.07"
"1","  2.34"
"1","  2.25"
"1","
1969"
"1","  2.16"
"1","  2.43"
"1","  2.70"
"1","  2.25"
"1","
1970"
"1","  2.79"
"1","  3.42"
"1","  3.69"
"1","  3.60"
"1","
1971"
"1","  3.60"
"1","  4.32"
"1","  4.32"
"1","  4.05"
"1","
1972"
"1","  4.86"
"1","  5.04"
"1","  5.04"
"1","  4.41"
"1","
1973"
"1","  5.58"
"1","  5.85"
"1","  6.57"
"1","  5.31"
"1","
1974"
"1","  6.03"
"1","  6.39"
"1","  6.93"
"1","  5.85"
"1","
1975"
"1","  6.93"
"1","  7.74"
"1","  7.83"
"1","  6.12"
"1","
1976"
"1","  7.74"
"1","  8.91"
"1","  8.28"
"1","  6.84"
"1","
1977"
"1","  9.54"
"1"," 10.26"
"1","  9.54"
"1","  8.73"
"1","
1978"
"1"," 11.88"
"1"," 12.06"
"1"," 12.15"
"1","  8.91"
"1","
1979"
"1"," 14.04"
"1"," 12.96"
"1"," 14.85"
"1","  9.99"
"1","
1980"
"1"," 16.20"
"1"," 14.67"
"1"," 16.02"
"1"," 11.61"
"1","
"
